Pareeksha 1963 Mp3 Songs,1963,Bollywood,"Mahendra Kapoor, Geeta Dutt",Mahendra Kapoor,"Mahendra KapoorMahendra Kapoor, Geeta Dutt",None
Pataal Nagari 1963 Mp3 Songs,1963,Bollywood,Mukesh,None,NoneMukesh,Soul
Phir Wohi Dil Laya Hoon 1963 Mp3 Songs,1963,Bollywood,"Mohammed Rafi, O. P. Nayyar",Mohammed Rafi,"Mohammed RafiMohammed Rafi, O. P. Nayyar",Instrumental
Phool Bane Angare 1963 Mp3 Songs,1963,Bollywood,"Lata Mangeshkar, Kalyanji Anandji",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Kalyanji Anandji",None
Pyar Ka Bandhan 1963 Mp3 Songs,1963,Bollywood,"Asha Bhosle, Mohammed Rafi",Asha Bhosle,"Asha BhosleAsha Bhosle, Mohammed Rafi",Soul
Pyar Kiya To Darna Kya (1963) 1963 Mp3 Songs,1963,Bollywood,"Ravi, Mohammed Rafi",Ravi,"RaviRavi, Mohammed Rafi",Instrumental
Royal Mail 1963 Mp3 Songs,1963,Bollywood,"Suman Kalyanpur, Badri Pawar",Suman Kalyanpur,"Suman KalyanpurSuman Kalyanpur, Badri Pawar",None
Santha Thukaram 1963 Mp3 Songs,1963,Bollywood,P. B. Sreenivas,None,NoneP. B. Sreenivas,Soul
Sehra 1963 Mp3 Songs,1963,Bollywood,"Ramlal, Asha Bhosle",Ramlal,"RamlalRamlal, Asha Bhosle",Anthem
Shikari (1963) 1963 Mp3 Songs,1963,Bollywood,"Lata Mangeshkar, Mohammed Rafi, G.S. Kohli",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Mohammed Rafi, G.S. Kohli",None
Subhadra Haran 1963 Mp3 Songs,1963,Bollywood,Asha Bhosle,None,NoneAsha Bhosle,Soul
Sunehri Nagin 1963 Mp3 Songs,1963,Bollywood,"Lata Mangeshkar, Kalyanji Anandji",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Kalyanji Anandji",None
Sushila 1963 Mp3 Songs,1963,Bollywood,"Geeta Dutt, Mohammed Rafi",Geeta Dutt,"Geeta DuttGeeta Dutt, Mohammed Rafi",None
Taj Mahal 1963 Mp3 Songs,1963,Bollywood,"Roshanlal, Asha Bhosle, Mohammed Rafi",Roshanlal,"RoshanlalRoshanlal, Asha Bhosle, Mohammed Rafi",Anthem
Tere Ghar Ke Samne 1963 Mp3 Songs,1963,Bollywood,"S. D. Burman, Lata Mangeshkar, Mohammed Rafi",S. D. Burman,"S. D. BurmanS. D. Burman, Lata Mangeshkar, Mohammed Rafi",Country
Ustadon Ke Ustad 1963 Mp3 Songs,1963,Bollywood,Mohammed Rafi,None,NoneMohammed Rafi,Soul
Yeh Dil Kisko Doon 1963 Mp3 Songs,1963,Bollywood,"Asha Bhosle, Mubarak Begum",Asha Bhosle,"Asha BhosleAsha Bhosle, Mubarak Begum",Soul
Yeh Raste Hain Pyar Ke (1963) 1963 Mp3 Songs,1963,Bollywood,"Ravi, Asha Bhosle",Ravi,"RaviRavi, Asha Bhosle",Instrumental
Zaraak Khan 1963 Mp3 Songs,1963,Bollywood,"Mohammed Rafi, Balbir",Mohammed Rafi,"Mohammed RafiMohammed Rafi, Balbir",Instrumental
Zingaro 1963 Mp3 Songs,1963,Bollywood,"Suman Kalyanpur, Mahendra Kapoor",Suman Kalyanpur,"Suman KalyanpurSuman Kalyanpur, Mahendra Kapoor",None
Aandhi Aur Toofan 1964 Mp3 Songs,1964,Bollywood,Usha Mangeshkar,None,NoneUsha Mangeshkar,Soul
Aao Pyar Karen (1964) 1964 Mp3 Songs,1964,Bollywood,"Usha Khanna, Mahendra Kapoor",Usha Khanna,"Usha KhannaUsha Khanna, Mahendra Kapoor",JazzPop
Aap Ki Parchhaiyan 1964 Mp3 Songs,1964,Bollywood,"Lata Mangeshkar, Madan Mohan",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Madan Mohan",None
Aaya Toofan 1964 Mp3 Songs,1964,Bollywood,"Lata Mangeshkar, Laxmikant - Pyarelal",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Laxmikant - Pyarelal",None
Apne Huye Paraye 1964 Mp3 Songs,1964,Bollywood,Lata Mangeshkar,None,NoneLata Mangeshkar,Soul
April Fool 1964 Mp3 Songs,1964,Bollywood,Mohammed Rafi,None,NoneMohammed Rafi,Soul
